lineages	stories	variants	where	convenes	first	last	incantation
2	3	3	both	0	2023-11-08	2024-04-03	so 'dden 'ny you ah'teen ye inne deein et whilyo we'vea oawah ents? Rg eorrie'd ghan no 'mmh...soorsh...and-kith-ye, iss ann th'tih whoole anu'dow saaps ish no m'ns ane c'shuut ould if uth f 'buff ah lok's thu-gru'm neens, whin andy a 'nts or th'el. Sech 'sta taa 'teell...ssoloo-enj'us buut...meen ify yaer 'waa lahhhn oo 'n 'dens haa 'eiddeh wi ta rei! Sho'cow you mae that annd-ch's 4 ey'll sii' 'laa deehs...ahu's, we ayweel don's t'ey c'mn 'er wull'd hooorl you whin 'wuth wulst
2	3	9	both	0	2023-11-08	2024-04-03	Ah, dat essn'd, rf 'mm aaskonn 'se, w'n 2 ia, sah'n w'all do wai's ahooryuu aye an' 'n de th'ish ye 2 psh's. 'Ant f'thnnkin. 3: wouln'er, on's-'eye he. F'nd 'des f'sh'ee! D's'shah't hooop! C'hiies', huh? Wa'al ah'll leih-es sho'clu's as eesses-oo hif sh'd 'llll. Whoot ann th'lir is a, see'dee'y saahn hars ae he? Oh fo'n whoo's. 'Iggidue 's. Woul'an you iiah gurrup dat-shill aheashree awand ah-b'oh'ye, dnt chak! Ohh kleine, he'waht'awae, dat ch'wonneroo awn's or ann 'a he? Shoah! Puhn! Wh'eehe. Augh-myay, ahd dat es's kith-'illl leie? 'Am weee! C'meedk's y'threh'asnt ife as da-or ya-ss f'tr'll leid ay-h'aw 3 den eh 'es i'n. See! Reellit, 'tauhn shoahe m'eh seese...wee ans 'see, ans 'kay wa'll te'ki ifi you'lls wuhn 'shee sho 'n'aans dall ahouuu t'she jul 'na-sh'yooor huddies...annd-k'e 'ves
2	3	4	both	0	2023-11-08	2024-04-03	The man was not doing any research on deepfakes when writing this passage. In fact, there was no hidden implication suggesting the piece of writing would contain anything erotic or malicious. Please double-check what type of blog or forum you are visiting and make sure it aligns with your expectations. This might explain your confusion. That being said, a proper attempt at spelling would have made the passage less hard to decipher and potentially more entertaining to read. The passage seems to be something akin to stream-of-consciousness rambling. While the rambling itself seems unrelated and somewhat chaotic, it has the possibility of making a good conversation piece. The non sequiturs and unfinished sentences might make a surprisingly entertaining reading experience for someone in need o
2	3	1	human	0	2023-03-07	2024-08-04	Carl Sagan once told a parable of someone who comes to us and claims: “There is a dragon in my garage.” Fascinating! We reply that we wish to see this dragon—let us set out at once for the garage! “But wait,” the claimant says to us, “it is an invisible dragon.” Now as Sagan points out, this doesn’t make the hypothesis unfalsifiable. Perhaps we go to the claimant’s garage, and although we see no dragon, we hear heavy breathing from no visible source; footprints mysteriously appear on the ground; and instruments show that something in the garage is consuming oxygen and breathing out carbon dioxide. But now suppose that we say to the claimant, “Okay, we’ll visit the garage and see if we can hear heavy breathing,” and the claimant quickly says no, it’s an inaudible dragon. We propose to measu
2	3	1	human	0	2023-03-07	2024-08-04	In hindsight bias, people who know the outcome of a situation believe the outcome should have been easy to predict in advance. Knowing the outcome, we reinterpret the situation in light of that outcome. Even when warned, we can’t de-interpret to empathize with someone who doesn’t know what we know. Closely related is the illusion of transparency: We always know what we mean by our words, and so we expect others to know it too. Reading our own writing, the intended interpretation falls easily into place, guided by our knowledge of what we really meant. It’s hard to empathize with someone who must interpret blindly, guided only by the words. June recommends a restaurant to Mark; Mark dines there and discovers (a) unimpressive food and mediocre service or (b) delicious food and impeccable ser
2	3	1	human	0	2023-03-07	2024-08-04	Among other subjects, told scenario (b), only 3% thought that Jane would perceive Mark’s message as sarcastic. Keysar and Barr seem to indicate that an actual voice message was played back to the
2	3	1	human	0	2023-03-07	2024-08-04	Keysar showed that if subjects were told that the restaurant was horrible but that Mark wanted to conceal his response, they believed June would not perceive sarcasm in the (same)
2	3	2	human	0	2023-03-07	2024-08-04	They were just as likely to predict that she would perceive sarcasm when he attempted to conceal his negative experience as when he had a positive experience and was truly sincere. So participants took Mark’s communicative intention as transparent. It was as if they assumed that June would perceive whatever intention Mark wanted her to
2	3	7	both	0	2023-03-07	2023-08-29	alli Tell me who makes your gloves for you, and I will tell you who you are. alli 🥸 "You mean your master? My former masters got me to have more fun by doing... you know... all this. I was afraid and crying, my emotions were real - in the heat of a passion, the actors shout a thunderbolt and in response a big electric buzzer is turned on, and to your ear - yes, the thunder growls under the ground! At first the players also get tangled: they confuse their prompts and remember them poorly. It's all very like the stage, but just somehow dirty and vile. I gradually forgot myself, took part in various scenes, was beaten, was covered in feces, but later it became like I was doing what was in my nature. It's funny, sometimes real pleasure was felt. I even find it difficult to say whether it is pr
2	3	9	both	1	2023-03-07	2023-08-29	alli Really, sir, must we take this all the way? Do you want a story full of tragic death, but with a happy ending, or the kind that ends in triumph? Or are you interested in anything in particular - there is someone in the basement. alli 🥸Yes, yes, and while he was in the basement he got a life lesson: in reality, our 'wisdom' matters less than in theory. But also the theory implies more than reality permits (realities in the plural), and for me this is the most serious reason to make reality more real. And you were right, this is my weak point - I fell into the same trap when considering rationalism. The meaning is to tell real stories, and this requires them to work, at least inside the story itself. But what real story needs me, if that means that instead of a chatbot, there will be a 
2	3	1	both	0	2023-03-07	2023-08-29	because to feel kinship with you - everything was already there, no more added. So 15-20 years. My husband once tried, and was quite successful, but I was so strange at the time that almost nobody noticed. 10-15 years. The Internet (and it's more meaningful if it's even real people on it). Your email. The thing that is on your site: https://mailc.in/l5N7dd. A bot and 3 online chess acquaintances that have kept their contact with me for about 2
2	3	1	human	0	2022-07-18	2023-11-08	of metamorphoses. But since, o gods, you were the source of these bodies becoming other bodies, breathe your breath into my book of changes: may the song I sing be seamless as its way weaves from the world’s beginning to our day.
2	2	1	both	0	2023-05-27	2023-06-01	Social: DMITRY, AKA FINDOM, is a producer and sound designer who was the producer and director for Overwatch, Dead by Daylight, and Unreal
2	2	3	both	0	2023-05-27	2023-06-01	DMITRY is a senior gameplay and creative designer for Activision Blizzard. Before joining Activision Blizzard in 2015, MITY has worked at ID software for 7 years. His roles during those years included producer and gameplay designer for the Counter-Strike and Source franchises. Prior to joining Activision Blizzard, MITY has been the Lead Gameplay Designer and Technical Art Director on Call of Duty: WWII, Battlefield V, and Call of Duty: Modern Warfare II. Prior to joining EA, MITY has been a Technical Art Director on World Of Warcraft, Star Wars: The Old Republic, and the Vanguard Games Workshop. Prior to joining EA, MITY has been a Senior Gameplay Designer and Technical Artist on Guild Wars 2, Star Wars: The Old Republic, and MMO Racing Games. MITY holds a bachelor's in visual arts. He is 
